Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,IsAccurate,Unnamed: 0,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,LapTimePerKM
GAS,Red Bull Racing,10.0,119.647,2.0,SOFT,1.0,17.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.107723577235774
GAS,Red Bull Racing,40.0,117.32000000000001,3.0,MEDIUM,1.0,11.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.677753141167777
PER,Aston Martin,9.0,118.412,2.0,MEDIUM,1.0,17.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.879526977087956
PER,Aston Martin,34.0,120.33800000000001,3.0,MEDIUM,1.0,15.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.235402808573543
LEC,Ferrari,14.0,116.203,2.0,MEDIUM,1.0,3.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.471359940872137
LEC,Ferrari,37.0,115.016,3.0,MEDIUM,1.0,1.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.252032520325205
STR,Aston Martin,2.0,127.111,2.0,MEDIUM,1.0,19.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,23.48688100517369
STR,Aston Martin,24.0,121.811,3.0,MEDIUM,1.0,19.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.507575757575758
MAG,Haas F1 Team,11.0,116.83800000000001,2.0,MEDIUM,1.0,15.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.58869179600887
MAG,Haas F1 Team,39.0,119.08600000000001,3.0,SOFT,4.0,14.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.00406504065041
ALB,AlphaTauri,10.0,118.22000000000001,2.0,SOFT,1.0,16.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.84405025868441
ALB,AlphaTauri,26.0,119.635,3.0,MEDIUM,1.0,15.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.10550628233555
KVY,AlphaTauri,13.0,119.70400000000001,2.0,MEDIUM,1.0,16.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.118255728011828
KVY,AlphaTauri,39.0,123.927,3.0,SOFT,1.0,15.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.898558758314856
HUL,Alpine,13.0,117.266,2.0,SOFT,1.0,10.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.667775314116778
HUL,Alpine,33.0,119.24700000000001,3.0,MEDIUM,1.0,10.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.033813747228383
RIC,Alpine,25.0,120.07300000000001,2.0,MEDIUM,1.0,13.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.186437546193645
VER,Red Bull Racing,12.0,116.42,2.0,MEDIUM,1.0,8.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.511456023651146
VER,Red Bull Racing,33.0,119.409,3.0,MEDIUM,1.0,6.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.063747228381377
NOR,McLaren,11.0,116.018,2.0,MEDIUM,1.0,14.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.437176644493718
NOR,McLaren,35.0,117.59100000000001,3.0,SOFT,4.0,9.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.727827050997785
HAM,Mercedes,14.0,114.28500000000001,2.0,SOFT,1.0,4.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.1169623059867
HAM,Mercedes,35.0,113.602,3.0,MEDIUM,1.0,4.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,20.990761271249077
VET,Ferrari,15.0,115.111,2.0,MEDIUM,1.0,4.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.26958610495196
VET,Ferrari,36.0,113.846,3.0,MEDIUM,1.0,3.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.035846267553584
VET,Ferrari,39.0,126.01200000000001,4.0,SOFT,4.0,9.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,23.283813747228386
