Driver,Team,LapTimeQ1,PositionQ1,GapToKnockoutQ1,Year,GP,LapTimeQ2,PositionQ2,GapToKnockoutQ2,GridPosition,RacePosition,Status,Points,PositionDifference,ChampionshipPoints,LastRacePosition,TeamChampionshipPoints,TeammateLastRacePosition,LapTimeFP1,GapToFastestFP1,PositionFP1,LapTimeFP2,GapToFastestFP2,PositionFP2,LapTimeFP3,GapToFastestFP3,PositionFP3,StartingTire,NumberOfPitStops,TiresUsed,MadeItToQ2,MadeItToQ3
LEC,Ferrari,88.495,1,-1.4639999999999986,2019,Bahrain,88.046,1.0,-1.4249999999999972,1.0,3.0,Finished,16.0,-2.0,16.0,3.0,26.0,5.0,90.354,0.0,1.0,88.881,0.0349999999999965,2.0,89.569,0.0,1.0,SOFT,2.0,"SOFT, MEDIUM",1,1
VET,Ferrari,88.733,2,-1.225999999999999,2019,Bahrain,88.35600000000001,2.0,-1.1149999999999949,2.0,5.0,Finished,10.0,-3.0,10.0,5.0,26.0,3.0,90.617,0.2630000000000052,2.0,88.846,0.0,1.0,89.738,0.1689999999999969,2.0,SOFT,3.0,"SOFT, MEDIUM, SOFT",1,1
HAM,Mercedes,89.262,3,-0.6970000000000027,2019,Bahrain,88.578,3.0,-0.8930000000000007,3.0,1.0,Finished,25.0,2.0,25.0,1.0,43.0,2.0,91.601,1.247,4.0,89.44900000000001,0.6030000000000086,3.0,90.334,0.7650000000000006,3.0,SOFT,2.0,"SOFT, MEDIUM",1,1
NOR,McLaren,89.381,4,-0.578000000000003,2019,Bahrain,89.25800000000001,9.0,-0.2129999999999938,9.0,6.0,Finished,8.0,3.0,8.0,6.0,8.0,19.0,92.945,2.591000000000008,15.0,90.01700000000001,1.1710000000000065,8.0,90.955,1.38600000000001,7.0,SOFT,2.0,"SOFT, MEDIUM, SOFT",1,1
BOT,Mercedes,89.498,5,-0.4609999999999985,2019,Bahrain,88.83000000000001,4.0,-0.6409999999999911,4.0,2.0,Finished,18.0,2.0,18.0,2.0,43.0,1.0,91.328,0.9740000000000038,3.0,89.557,0.7109999999999985,4.0,90.389,0.8200000000000074,4.0,SOFT,2.0,"SOFT, MEDIUM, SOFT",1,1
ALB,Toro Rosso,89.51400000000001,6,-0.4449999999999932,2019,Bahrain,89.513,12.0,0.0420000000000015,12.0,9.0,Finished,2.0,3.0,2.0,9.0,2.0,12.0,92.874,2.5200000000000102,13.0,90.458,1.612000000000009,13.0,91.679,2.1099999999999994,17.0,SOFT,2.0,"SOFT, MEDIUM",1,0
SAI,McLaren,89.528,7,-0.4309999999999974,2019,Bahrain,89.055,6.0,-0.4159999999999968,7.0,19.0,Collision damage,0.0,-12.0,0.0,19.0,8.0,6.0,91.952,1.5980000000000132,7.0,90.192,1.3460000000000036,11.0,90.965,1.3960000000000008,9.0,SOFT,3.0,"SOFT, MEDIUM, HARD, SOFT",1,1
MAG,Haas F1 Team,89.53200000000001,8,-0.4269999999999925,2019,Bahrain,89.01700000000001,5.0,-0.4539999999999935,6.0,13.0,+1 Lap,0.0,-7.0,0.0,13.0,0.0,20.0,92.602,2.2480000000000047,12.0,90.0,1.1539999999999964,7.0,91.54,1.971000000000004,13.0,SOFT,2.0,"SOFT, MEDIUM, SOFT",1,1
VER,Red Bull Racing,89.57900000000001,9,-0.3799999999999954,2019,Bahrain,89.10900000000001,7.0,-0.3619999999999947,5.0,4.0,Finished,12.0,1.0,12.0,4.0,16.0,8.0,91.673,1.3190000000000026,5.0,89.72500000000001,0.8790000000000049,6.0,90.959,1.3900000000000006,8.0,SOFT,2.0,"SOFT, MEDIUM",1,1
GRO,Haas F1 Team,89.688,10,-0.2710000000000008,2019,Bahrain,89.24900000000001,8.0,-0.2219999999999942,11.0,20.0,Retired,0.0,-9.0,0.0,20.0,0.0,13.0,92.994,2.640000000000001,17.0,90.06800000000001,1.2220000000000084,9.0,90.818,1.2490000000000094,5.0,SOFT,1.0,"SOFT, MEDIUM",1,1
RIC,Renault,89.85900000000001,11,-0.0999999999999943,2019,Bahrain,89.488,11.0,0.0169999999999959,10.0,18.0,Out of fuel,0.0,-8.0,0.0,18.0,0.0,17.0,92.401,2.0470000000000117,11.0,90.848,2.001999999999996,15.0,91.643,2.073999999999998,16.0,SOFT,1.0,"SOFT, MEDIUM",1,0
KVY,Toro Rosso,89.876,12,-0.0829999999999984,2019,Bahrain,89.854,15.0,0.3829999999999955,15.0,12.0,+1 Lap,0.0,3.0,0.0,12.0,2.0,9.0,92.339,1.9850000000000136,9.0,90.093,1.247,10.0,91.173,1.6039999999999992,10.0,SOFT,2.0,"SOFT, MEDIUM, SOFT",1,0
PER,Racing Point,89.893,13,-0.0660000000000025,2019,Bahrain,89.756,14.0,0.2849999999999966,14.0,10.0,Finished,1.0,4.0,1.0,10.0,1.0,14.0,92.885,2.531000000000006,14.0,90.716,1.8700000000000043,14.0,91.638,2.0690000000000026,15.0,SOFT,2.0,"SOFT, MEDIUM",1,0
GAS,Red Bull Racing,89.9,14,-0.0589999999999975,2019,Bahrain,89.52600000000001,13.0,0.0550000000000068,13.0,8.0,Finished,4.0,5.0,4.0,8.0,16.0,4.0,91.815,1.4610000000000127,6.0,90.429,1.5829999999999984,12.0,91.392,1.8230000000000075,12.0,SOFT,2.0,"SOFT, MEDIUM",1,0
RAI,Alfa Romeo Racing,89.959,15,0.0,2019,Bahrain,89.471,10.0,0.0,8.0,7.0,Finished,6.0,1.0,6.0,7.0,6.0,11.0,92.385,2.031000000000006,10.0,91.088,2.2420000000000044,16.0,91.333,1.76400000000001,11.0,SOFT,2.0,"SOFT, MEDIUM, SOFT",0,0
GIO,Alfa Romeo Racing,90.02600000000001,16,0.0670000000000072,2019,Bahrain,,,,16.0,11.0,Finished,0.0,5.0,0.0,11.0,6.0,7.0,92.949,2.595000000000013,16.0,91.144,2.298000000000002,18.0,92.132,2.5630000000000024,18.0,SOFT,2.0,"SOFT, MEDIUM, SOFT",0,0
HUL,Renault,90.034,17,0.0750000000000028,2019,Bahrain,,,,17.0,17.0,Engine,0.0,0.0,0.0,17.0,0.0,18.0,92.04,1.686000000000007,8.0,89.66900000000001,0.8230000000000075,5.0,90.91,1.3410000000000082,6.0,SOFT,2.0,"SOFT, MEDIUM",0,0
STR,Racing Point,90.217,18,0.2579999999999955,2019,Bahrain,,,,18.0,14.0,+1 Lap,0.0,4.0,0.0,14.0,1.0,10.0,93.518,3.164000000000001,18.0,91.129,2.2830000000000013,17.0,91.618,2.0490000000000066,14.0,SOFT,2.0,"SOFT, MEDIUM",0,0
RUS,Williams,91.759,19,1.7999999999999972,2019,Bahrain,,,,19.0,15.0,+1 Lap,0.0,4.0,0.0,15.0,0.0,16.0,94.188,3.834000000000003,19.0,91.904,3.058000000000007,19.0,93.387,3.817999999999998,19.0,SOFT,2.0,"SOFT, MEDIUM",0,0
KUB,Williams,91.799,20,1.8400000000000036,2019,Bahrain,,,,20.0,16.0,+2 Laps,0.0,4.0,0.0,16.0,0.0,15.0,94.253,3.899000000000001,20.0,92.932,4.085999999999999,20.0,93.525,3.956000000000003,20.0,MEDIUM,2.0,"MEDIUM, SOFT, MEDIUM",0,0
BOT,Mercedes,92.658,1,-1.490000000000009,2019,China,91.728,2.0,-1.5079999999999956,1.0,2.0,Finished,18.0,-1.0,36.0,2.0,86.0,1.0,94.653,0.7420000000000044,5.0,93.33,0.0,1.0,92.83,0.0,1.0,MEDIUM,2.0,"MEDIUM, HARD, MEDIUM",1,1
LEC,Ferrari,92.712,2,-1.436000000000007,2019,China,92.324,4.0,-0.911999999999992,4.0,5.0,Finished,10.0,-1.0,26.0,5.0,51.0,3.0,94.167,0.2560000000000002,3.0,94.158,0.8279999999999887,7.0,93.248,0.4179999999999921,3.0,MEDIUM,2.0,"MEDIUM, HARD, MEDIUM",1,1
HAM,Mercedes,93.115,3,-1.0330000000000013,2019,China,91.637,1.0,-1.5990000000000038,2.0,1.0,Finished,25.0,1.0,50.0,1.0,86.0,2.0,94.118,0.2070000000000078,2.0,94.037,0.7069999999999936,4.0,93.689,0.8589999999999947,4.0,MEDIUM,2.0,"MEDIUM, HARD, MEDIUM",1,1
VER,Red Bull Racing,93.274,4,-0.8740000000000094,2019,China,92.369,5.0,-0.8670000000000044,5.0,4.0,Finished,12.0,1.0,24.0,4.0,37.0,6.0,94.334,0.4230000000000018,4.0,93.551,0.2209999999999894,3.0,94.447,1.6169999999999902,7.0,MEDIUM,2.0,"MEDIUM, HARD, MEDIUM",1,1
VET,Ferrari,93.557,5,-0.5910000000000082,2019,China,92.232,3.0,-1.0040000000000049,3.0,3.0,Finished,15.0,0.0,25.0,3.0,51.0,5.0,93.911,0.0,1.0,93.357,0.0269999999999868,2.0,93.222,0.3919999999999959,2.0,MEDIUM,2.0,"MEDIUM, HARD, MEDIUM",1,1
HUL,Renault,93.644,6,-0.5040000000000049,2019,China,93.968,15.0,0.7319999999999993,8.0,20.0,Power Unit,0.0,-12.0,0.0,20.0,6.0,7.0,95.591,1.6800000000000068,12.0,94.096,0.7659999999999911,5.0,93.974,1.1439999999999912,5.0,SOFT,1.0,"SOFT, HARD",1,0
SAI,McLaren,93.686,7,-0.4620000000000033,2019,China,93.523,13.0,0.2870000000000061,14.0,14.0,+1 Lap,0.0,0.0,0.0,14.0,8.0,18.0,95.756,1.8449999999999989,16.0,94.141,0.8109999999999928,6.0,94.51,1.6799999999999926,8.0,MEDIUM,2.0,"MEDIUM, HARD, SOFT",1,0
RIC,Renault,93.709,8,-0.4390000000000071,2019,China,93.214,9.0,-0.0219999999999913,7.0,7.0,+1 Lap,6.0,0.0,6.0,7.0,6.0,20.0,95.239,1.328000000000003,6.0,94.336,1.0060000000000002,9.0,95.142,2.3119999999999976,13.0,SOFT,1.0,"SOFT, HARD",1,1
GRO,Haas F1 Team,93.752,9,-0.3960000000000008,2019,China,93.156,8.0,-0.0799999999999983,10.0,11.0,+1 Lap,0.0,-1.0,0.0,11.0,0.0,13.0,95.507,1.5960000000000036,10.0,95.704,2.3739999999999952,17.0,95.771,2.9409999999999883,17.0,SOFT,2.0,"SOFT, HARD, MEDIUM",1,1
KVY,Toro Rosso,93.783,10,-0.3650000000000091,2019,China,93.236,10.0,0.0,11.0,19.0,Collision,0.0,-8.0,0.0,19.0,3.0,10.0,95.447,1.5360000000000014,8.0,94.694,1.36399999999999,13.0,94.783,1.9529999999999887,10.0,MEDIUM,3.0,"MEDIUM, HARD, SOFT",1,0
GAS,Red Bull Racing,93.863,11,-0.2850000000000108,2019,China,92.948,6.0,-0.2879999999999967,6.0,6.0,Finished,9.0,0.0,13.0,6.0,37.0,4.0,95.428,1.51700000000001,7.0,94.455,1.125,10.0,95.326,2.495999999999995,15.0,SOFT,3.0,"SOFT, HARD, MEDIUM, SOFT",1,1
PER,Racing Point,94.026,12,-0.1219999999999998,2019,China,93.299,11.0,0.0630000000000023,12.0,8.0,+1 Lap,4.0,4.0,5.0,8.0,5.0,12.0,95.82,1.909000000000006,17.0,94.784,1.4539999999999935,15.0,95.078,2.2479999999999905,12.0,MEDIUM,1.0,"MEDIUM, HARD",1,0
MAG,Haas F1 Team,94.036,13,-0.1120000000000089,2019,China,93.15,7.0,-0.0859999999999985,9.0,13.0,+1 Lap,0.0,-4.0,0.0,13.0,0.0,11.0,95.517,1.6060000000000088,11.0,94.788,1.4579999999999984,16.0,95.998,3.167999999999992,18.0,SOFT,2.0,"SOFT, HARD, MEDIUM",1,1
RAI,Alfa Romeo Racing,94.125,14,-0.0230000000000103,2019,China,93.419,12.0,0.1830000000000069,13.0,9.0,+1 Lap,2.0,4.0,8.0,9.0,8.0,15.0,95.729,1.8179999999999976,15.0,94.551,1.2209999999999894,11.0,94.246,1.4159999999999968,6.0,MEDIUM,1.0,"MEDIUM, HARD",1,0
NOR,McLaren,94.148,15,0.0,2019,China,93.967,14.0,0.7309999999999945,15.0,18.0,Collision,0.0,-3.0,8.0,18.0,8.0,14.0,95.631,1.7199999999999989,13.0,94.296,0.965999999999994,8.0,94.938,2.10799999999999,11.0,MEDIUM,3.0,"MEDIUM, HARD, MEDIUM, SOFT",0,0
STR,Racing Point,94.292,16,0.1439999999999912,2019,China,,,,16.0,12.0,+1 Lap,0.0,4.0,0.0,12.0,5.0,8.0,95.466,1.5550000000000068,9.0,94.779,1.448999999999998,14.0,95.223,2.3929999999999865,14.0,MEDIUM,2.0,"MEDIUM, HARD, SOFT",0,0
RUS,Williams,95.253,17,1.1049999999999898,2019,China,,,,17.0,16.0,+2 Laps,0.0,1.0,0.0,16.0,0.0,17.0,97.619,3.7079999999999984,19.0,96.229,2.8989999999999867,20.0,96.124,3.293999999999997,19.0,MEDIUM,2.0,"MEDIUM, HARD, SOFT",0,0
KUB,Williams,95.281,18,1.1329999999999956,2019,China,,,,18.0,17.0,+2 Laps,0.0,1.0,0.0,17.0,0.0,16.0,96.847,2.936000000000007,18.0,96.121,2.790999999999997,19.0,96.176,3.345999999999989,20.0,MEDIUM,1.0,"MEDIUM, HARD",0,0
ALB,Toro Rosso,,19,,2019,China,,,,0.0,10.0,+1 Lap,1.0,-10.0,3.0,10.0,3.0,19.0,95.695,1.784000000000006,14.0,94.634,1.3039999999999878,12.0,94.6,1.769999999999996,9.0,SOFT,1.0,"SOFT, HARD",0,0
GIO,Alfa Romeo Racing,,20,,2019,China,,,,19.0,15.0,+1 Lap,0.0,4.0,0.0,15.0,8.0,9.0,,,,95.914,2.583999999999989,18.0,95.726,2.8959999999999866,16.0,SOFT,2.0,"SOFT, MEDIUM",0,0
LEC,Ferrari,82.01700000000001,1,-0.948999999999998,2019,Australia,81.739,4.0,-0.7930000000000064,5.0,5.0,Finished,10.0,0.0,36.0,5.0,73.0,4.0,83.673,0.073999999999998,3.0,83.754,1.1539999999999964,9.0,82.74900000000001,0.4570000000000078,3.0,SOFT,1.0,"SOFT, HARD",1,1
HAM,Mercedes,82.043,2,-0.9230000000000018,2019,Australia,81.01400000000001,1.0,-1.518000000000001,1.0,2.0,Finished,18.0,-1.0,68.0,2.0,130.0,1.0,83.599,0.0,1.0,82.60000000000001,0.0,1.0,82.292,0.0,1.0,SOFT,1.0,"SOFT, MEDIUM",1,1
BOT,Mercedes,82.367,3,-0.5990000000000038,2019,Australia,81.19300000000001,2.0,-1.3389999999999986,2.0,1.0,Finished,26.0,1.0,62.0,1.0,130.0,2.0,83.866,0.2669999999999959,5.0,82.64800000000001,0.0480000000000018,2.0,83.42200000000001,1.1300000000000097,7.0,SOFT,1.0,"SOFT, MEDIUM",1,1
GIO,Alfa Romeo Racing,82.43100000000001,4,-0.5349999999999966,2019,Australia,82.714,14.0,0.1819999999999879,14.0,15.0,+1 Lap,0.0,-1.0,0.0,15.0,12.0,8.0,85.16600000000001,1.5670000000000073,11.0,84.293,1.6929999999999978,15.0,83.831,1.5390000000000017,12.0,MEDIUM,1.0,"MEDIUM, SOFT",1,0
KVY,Toro Rosso,82.51100000000001,5,-0.4549999999999983,2019,Australia,82.774,15.0,0.2419999999999902,15.0,10.0,+1 Lap,1.0,5.0,1.0,10.0,4.0,14.0,84.83200000000001,1.233000000000004,7.0,83.933,1.3329999999999984,11.0,83.44200000000001,1.1500000000000057,8.0,MEDIUM,1.0,"MEDIUM, HARD",1,0
MAG,Haas F1 Team,82.519,6,-0.4470000000000027,2019,Australia,82.221,7.0,-0.311000000000007,7.0,6.0,Finished,8.0,1.0,8.0,6.0,8.0,18.0,84.93400000000001,1.335000000000008,9.0,83.988,1.387999999999991,12.0,83.334,1.0420000000000016,5.0,SOFT,1.0,"SOFT, MEDIUM",1,1
HUL,Renault,82.54,7,-0.4260000000000019,2019,Australia,82.56200000000001,11.0,0.0300000000000011,11.0,7.0,+1 Lap,6.0,4.0,6.0,7.0,12.0,19.0,85.015,1.4159999999999968,10.0,83.57400000000001,0.9740000000000038,7.0,83.73700000000001,1.4450000000000074,11.0,SOFT,1.0,"SOFT, HARD",1,0
NOR,McLaren,82.702,8,-0.26400000000001,2019,Australia,82.423,9.0,-0.1090000000000088,8.0,12.0,+1 Lap,0.0,-4.0,8.0,12.0,8.0,20.0,85.96600000000001,2.3670000000000044,18.0,84.733,2.132999999999996,18.0,84.56800000000001,2.2760000000000105,18.0,SOFT,1.0,"SOFT, HARD",1,1
