,GP,Circuit,PitstopT,Driver,Year
0,1,Australia,32.997,kubica,2019
1,1,Australia,33.027,ricciardo,2019
2,1,Australia,23.299,raikkonen,2019
3,1,Australia,21.588,hulkenberg,2019
4,1,Australia,23.234,perez,2019
5,1,Australia,21.995,vettel,2019
6,1,Australia,22.388,kevin_magnussen,2019
7,1,Australia,21.780,albon,2019
8,1,Australia,21.515,hamilton,2019
9,1,Australia,29.981,grosjean,2019
10,1,Australia,21.627,norris,2019
11,1,Australia,22.014,bottas,2019
12,1,Australia,21.157,max_verstappen,2019
13,1,Australia,22.086,kvyat,2019
14,1,Australia,21.689,russell,2019
15,1,Australia,22.471,stroll,2019
16,1,Australia,27.172,giovinazzi,2019
17,1,Australia,22.306,leclerc,2019
18,1,Australia,22.343,kubica,2019
19,1,Australia,21.269,gasly,2019
20,1,Australia,21.543,russell,2019
21,2,Bahrain,34.338,stroll,2019
22,2,Bahrain,32.082,grosjean,2019
23,2,Bahrain,45.543,sainz,2019
24,2,Bahrain,27.136,perez,2019
25,2,Bahrain,25.647,raikkonen,2019
26,2,Bahrain,27.557,gasly,2019
27,2,Bahrain,25.659,albon,2019
28,2,Bahrain,24.175,norris,2019
29,2,Bahrain,24.948,kevin_magnussen,2019
30,2,Bahrain,24.199,max_verstappen,2019
31,2,Bahrain,24.667,kubica,2019
32,2,Bahrain,24.865,bottas,2019
33,2,Bahrain,25.498,hulkenberg,2019
34,2,Bahrain,26.508,kvyat,2019
35,2,Bahrain,24.633,russell,2019
36,2,Bahrain,24.518,leclerc,2019
37,2,Bahrain,24.255,hamilton,2019
38,2,Bahrain,24.228,vettel,2019
39,2,Bahrain,27.725,giovinazzi,2019
40,2,Bahrain,26.600,stroll,2019
41,2,Bahrain,25.676,ricciardo,2019
42,2,Bahrain,25.034,sainz,2019
43,2,Bahrain,24.842,albon,2019
44,2,Bahrain,24.912,russell,2019
45,2,Bahrain,24.313,kubica,2019
46,2,Bahrain,26.729,max_verstappen,2019
47,2,Bahrain,25.253,hulkenberg,2019
48,2,Bahrain,25.621,raikkonen,2019
49,2,Bahrain,26.798,perez,2019
50,2,Bahrain,24.324,hamilton,2019
51,2,Bahrain,24.717,norris,2019
52,2,Bahrain,24.212,vettel,2019
53,2,Bahrain,24.358,leclerc,2019
54,2,Bahrain,24.433,bottas,2019
55,2,Bahrain,34.193,vettel,2019
56,2,Bahrain,30.761,kvyat,2019
57,2,Bahrain,25.982,kevin_magnussen,2019
58,2,Bahrain,24.484,gasly,2019
59,2,Bahrain,24.880,giovinazzi,2019
60,3,China,45.878,sainz,2019
61,3,China,50.738,norris,2019
62,3,China,17.257,kvyat,2019
63,3,China,25.184,giovinazzi,2019
64,3,China,23.261,grosjean,2019
65,3,China,23.964,kevin_magnussen,2019
66,3,China,24.107,hulkenberg,2019
67,3,China,23.223,max_verstappen,2019
68,3,China,33.638,norris,2019
69,3,China,22.749,vettel,2019
70,3,China,23.506,ricciardo,2019
71,3,China,22.301,gasly,2019
72,3,China,23.215,albon,2019
73,3,China,23.733,perez,2019
74,3,China,23.466,stroll,2019
75,3,China,22.196,bottas,2019
76,3,China,22.644,hamilton,2019
77,3,China,22.921,leclerc,2019
78,3,China,24.332,russell,2019
79,3,China,23.888,raikkonen,2019
80,3,China,26.050,kvyat,2019
81,3,China,32.627,kubica,2019
82,3,China,25.137,giovinazzi,2019
83,3,China,43.206,kvyat,2019
84,3,China,23.383,kevin_magnussen,2019
85,3,China,22.365,max_verstappen,2019
86,3,China,22.316,vettel,2019
87,3,China,22.524,norris,2019
88,3,China,23.520,grosjean,2019
89,3,China,23.597,hamilton,2019
90,3,China,24.083,bottas,2019
91,3,China,22.532,sainz,2019
92,3,China,22.722,gasly,2019
