LapNumber,GP,Year,TrackStatus,Label
1.0,Bahrain,2024,2,Yellow flag
2.0,Bahrain,2024,1,Green flag
3.0,Bahrain,2024,1,Green flag
4.0,Bahrain,2024,1,Green flag
5.0,Bahrain,2024,1,Green flag
6.0,Bahrain,2024,1,Green flag
7.0,Bahrain,2024,1,Green flag
8.0,Bahrain,2024,1,Green flag
9.0,Bahrain,2024,1,Green flag
10.0,Bahrain,2024,2,Yellow flag
11.0,Bahrain,2024,2,Yellow flag
12.0,Bahrain,2024,1,Green flag
13.0,Bahrain,2024,1,Green flag
14.0,Bahrain,2024,1,Green flag
15.0,Bahrain,2024,1,Green flag
16.0,Bahrain,2024,1,Green flag
17.0,Bahrain,2024,1,Green flag
18.0,Bahrain,2024,1,Green flag
19.0,Bahrain,2024,1,Green flag
20.0,Bahrain,2024,1,Green flag
21.0,Bahrain,2024,1,Green flag
22.0,Bahrain,2024,1,Green flag
23.0,Bahrain,2024,1,Green flag
24.0,Bahrain,2024,1,Green flag
25.0,Bahrain,2024,1,Green flag
26.0,Bahrain,2024,1,Green flag
27.0,Bahrain,2024,1,Green flag
28.0,Bahrain,2024,1,Green flag
29.0,Bahrain,2024,1,Green flag
30.0,Bahrain,2024,1,Green flag
31.0,Bahrain,2024,1,Green flag
32.0,Bahrain,2024,1,Green flag
33.0,Bahrain,2024,1,Green flag
34.0,Bahrain,2024,1,Green flag
35.0,Bahrain,2024,1,Green flag
36.0,Bahrain,2024,1,Green flag
37.0,Bahrain,2024,1,Green flag
38.0,Bahrain,2024,1,Green flag
39.0,Bahrain,2024,1,Green flag
40.0,Bahrain,2024,1,Green flag
41.0,Bahrain,2024,1,Green flag
42.0,Bahrain,2024,1,Green flag
43.0,Bahrain,2024,1,Green flag
44.0,Bahrain,2024,1,Green flag
45.0,Bahrain,2024,1,Green flag
46.0,Bahrain,2024,1,Green flag
47.0,Bahrain,2024,1,Green flag
48.0,Bahrain,2024,1,Green flag
49.0,Bahrain,2024,1,Green flag
50.0,Bahrain,2024,1,Green flag
51.0,Bahrain,2024,1,Green flag
52.0,Bahrain,2024,1,Green flag
53.0,Bahrain,2024,1,Green flag
54.0,Bahrain,2024,1,Green flag
55.0,Bahrain,2024,1,Green flag
56.0,Bahrain,2024,1,Green flag
57.0,Bahrain,2024,1,Green flag
1.0,Saudi Arabia,2024,1,Green flag
2.0,Saudi Arabia,2024,1,Green flag
3.0,Saudi Arabia,2024,1,Green flag
4.0,Saudi Arabia,2024,1,Green flag
5.0,Saudi Arabia,2024,1,Green flag
6.0,Saudi Arabia,2024,1,Green flag
7.0,Saudi Arabia,2024,24,Safety Car
8.0,Saudi Arabia,2024,4,Safety Car
9.0,Saudi Arabia,2024,4,Safety Car
10.0,Saudi Arabia,2024,1,Green flag
11.0,Saudi Arabia,2024,1,Green flag
12.0,Saudi Arabia,2024,1,Green flag
13.0,Saudi Arabia,2024,1,Green flag
14.0,Saudi Arabia,2024,1,Green flag
15.0,Saudi Arabia,2024,1,Green flag
16.0,Saudi Arabia,2024,1,Green flag
17.0,Saudi Arabia,2024,1,Green flag
18.0,Saudi Arabia,2024,1,Green flag
19.0,Saudi Arabia,2024,1,Green flag
20.0,Saudi Arabia,2024,1,Green flag
21.0,Saudi Arabia,2024,1,Green flag
22.0,Saudi Arabia,2024,1,Green flag
23.0,Saudi Arabia,2024,1,Green flag
24.0,Saudi Arabia,2024,1,Green flag
25.0,Saudi Arabia,2024,1,Green flag
26.0,Saudi Arabia,2024,1,Green flag
27.0,Saudi Arabia,2024,1,Green flag
28.0,Saudi Arabia,2024,1,Green flag
29.0,Saudi Arabia,2024,1,Green flag
30.0,Saudi Arabia,2024,1,Green flag
31.0,Saudi Arabia,2024,1,Green flag
32.0,Saudi Arabia,2024,1,Green flag
33.0,Saudi Arabia,2024,1,Green flag
34.0,Saudi Arabia,2024,1,Green flag
35.0,Saudi Arabia,2024,1,Green flag
36.0,Saudi Arabia,2024,1,Green flag
37.0,Saudi Arabia,2024,1,Green flag
38.0,Saudi Arabia,2024,1,Green flag
39.0,Saudi Arabia,2024,1,Green flag
40.0,Saudi Arabia,2024,1,Green flag
41.0,Saudi Arabia,2024,1,Green flag
42.0,Saudi Arabia,2024,1,Green flag
43.0,Saudi Arabia,2024,1,Green flag
44.0,Saudi Arabia,2024,1,Green flag
45.0,Saudi Arabia,2024,1,Green flag
46.0,Saudi Arabia,2024,1,Green flag
47.0,Saudi Arabia,2024,1,Green flag
48.0,Saudi Arabia,2024,1,Green flag
49.0,Saudi Arabia,2024,1,Green flag
50.0,Saudi Arabia,2024,1,Green flag
1.0,Australia,2024,1,Green flag
2.0,Australia,2024,1,Green flag
3.0,Australia,2024,1,Green flag
4.0,Australia,2024,1,Green flag
5.0,Australia,2024,1,Green flag
6.0,Australia,2024,1,Green flag
7.0,Australia,2024,1,Green flag
8.0,Australia,2024,1,Green flag
9.0,Australia,2024,1,Green flag
10.0,Australia,2024,1,Green flag
11.0,Australia,2024,1,Green flag
12.0,Australia,2024,1,Green flag
13.0,Australia,2024,1,Green flag
14.0,Australia,2024,1,Green flag
15.0,Australia,2024,1,Green flag
16.0,Australia,2024,1,Green flag
17.0,Australia,2024,267,Virtual Safety Car
18.0,Australia,2024,1,Green flag
19.0,Australia,2024,1,Green flag
20.0,Australia,2024,1,Green flag
21.0,Australia,2024,1,Green flag
22.0,Australia,2024,1,Green flag
23.0,Australia,2024,1,Green flag
24.0,Australia,2024,1,Green flag
25.0,Australia,2024,1,Green flag
26.0,Australia,2024,1,Green flag
27.0,Australia,2024,1,Green flag
28.0,Australia,2024,1,Green flag
29.0,Australia,2024,1,Green flag
30.0,Australia,2024,1,Green flag
