,Year,GP,Driver,Strategy,PitStops,Stint,Compound,StintLength,StintNumber
0,2019,Bahrain,HAM,SOFT-SOFT-MEDIUM,2,1.0,SOFT,13.0,1.0
1,2019,Bahrain,HAM,SOFT-SOFT-MEDIUM,2,2.0,SOFT,21.0,2.0
2,2019,Bahrain,HAM,SOFT-SOFT-MEDIUM,2,3.0,MEDIUM,23.0,3.0
3,2019,Bahrain,BOT,SOFT-MEDIUM-SOFT,2,1.0,SOFT,12.0,1.0
4,2019,Bahrain,BOT,SOFT-MEDIUM-SOFT,2,2.0,MEDIUM,27.0,2.0
5,2019,Bahrain,BOT,SOFT-MEDIUM-SOFT,2,3.0,SOFT,18.0,3.0
6,2019,Bahrain,LEC,SOFT-MEDIUM-MEDIUM,2,1.0,SOFT,13.0,1.0
7,2019,Bahrain,LEC,SOFT-MEDIUM-MEDIUM,2,2.0,MEDIUM,23.0,2.0
8,2019,Bahrain,LEC,SOFT-MEDIUM-MEDIUM,2,3.0,MEDIUM,21.0,3.0
9,2019,Bahrain,VER,SOFT-MEDIUM-MEDIUM,2,1.0,SOFT,11.0,1.0
10,2019,Bahrain,VER,SOFT-MEDIUM-MEDIUM,2,2.0,MEDIUM,21.0,2.0
11,2019,Bahrain,VER,SOFT-MEDIUM-MEDIUM,2,3.0,MEDIUM,25.0,3.0
12,2019,Bahrain,VET,SOFT-MEDIUM-MEDIUM-SOFT,3,1.0,SOFT,14.0,1.0
13,2019,Bahrain,VET,SOFT-MEDIUM-MEDIUM-SOFT,3,2.0,MEDIUM,21.0,2.0
14,2019,Bahrain,VET,SOFT-MEDIUM-MEDIUM-SOFT,3,3.0,MEDIUM,3.0,3.0
15,2019,Bahrain,VET,SOFT-MEDIUM-MEDIUM-SOFT,3,4.0,SOFT,19.0,4.0
16,2019,Bahrain,NOR,SOFT-MEDIUM-SOFT,2,1.0,SOFT,10.0,1.0
17,2019,Bahrain,NOR,SOFT-MEDIUM-SOFT,2,2.0,MEDIUM,24.0,2.0
18,2019,Bahrain,NOR,SOFT-MEDIUM-SOFT,2,3.0,SOFT,23.0,3.0
19,2019,Bahrain,RAI,SOFT-MEDIUM-SOFT,2,1.0,SOFT,9.0,1.0
20,2019,Bahrain,RAI,SOFT-MEDIUM-SOFT,2,2.0,MEDIUM,24.0,2.0
21,2019,Bahrain,RAI,SOFT-MEDIUM-SOFT,2,3.0,SOFT,24.0,3.0
22,2019,Bahrain,GAS,SOFT-SOFT-MEDIUM,2,1.0,SOFT,9.0,1.0
23,2019,Bahrain,GAS,SOFT-SOFT-MEDIUM,2,2.0,SOFT,30.0,2.0
24,2019,Bahrain,GAS,SOFT-SOFT-MEDIUM,2,3.0,MEDIUM,18.0,3.0
25,2019,Bahrain,ALB,SOFT-SOFT-MEDIUM,2,1.0,SOFT,9.0,1.0
26,2019,Bahrain,ALB,SOFT-SOFT-MEDIUM,2,2.0,SOFT,16.0,2.0
27,2019,Bahrain,ALB,SOFT-SOFT-MEDIUM,2,3.0,MEDIUM,32.0,3.0
28,2019,Bahrain,PER,SOFT-MEDIUM-MEDIUM,2,1.0,SOFT,8.0,1.0
29,2019,Bahrain,PER,SOFT-MEDIUM-MEDIUM,2,2.0,MEDIUM,25.0,2.0
30,2019,Bahrain,PER,SOFT-MEDIUM-MEDIUM,2,3.0,MEDIUM,24.0,3.0
31,2019,Bahrain,GIO,SOFT-MEDIUM-SOFT,2,1.0,SOFT,16.0,1.0
32,2019,Bahrain,GIO,SOFT-MEDIUM-SOFT,2,2.0,MEDIUM,25.0,2.0
33,2019,Bahrain,GIO,SOFT-MEDIUM-SOFT,2,3.0,SOFT,16.0,3.0
34,2019,Bahrain,KVY,SOFT-MEDIUM-SOFT,2,1.0,SOFT,12.0,1.0
35,2019,Bahrain,KVY,SOFT-MEDIUM-SOFT,2,2.0,MEDIUM,26.0,2.0
36,2019,Bahrain,KVY,SOFT-MEDIUM-SOFT,2,3.0,SOFT,18.0,3.0
37,2019,Bahrain,MAG,SOFT-MEDIUM-SOFT,2,1.0,SOFT,10.0,1.0
38,2019,Bahrain,MAG,SOFT-MEDIUM-SOFT,2,2.0,MEDIUM,28.0,2.0
39,2019,Bahrain,MAG,SOFT-MEDIUM-SOFT,2,3.0,SOFT,18.0,3.0
40,2019,Bahrain,STR,SOFT-MEDIUM-MEDIUM,2,1.0,SOFT,1.0,1.0
41,2019,Bahrain,STR,SOFT-MEDIUM-MEDIUM,2,2.0,MEDIUM,22.0,2.0
42,2019,Bahrain,STR,SOFT-MEDIUM-MEDIUM,2,3.0,MEDIUM,33.0,3.0
43,2019,Bahrain,RUS,SOFT-MEDIUM-MEDIUM,2,1.0,SOFT,12.0,1.0
44,2019,Bahrain,RUS,SOFT-MEDIUM-MEDIUM,2,2.0,MEDIUM,14.0,2.0
45,2019,Bahrain,RUS,SOFT-MEDIUM-MEDIUM,2,3.0,MEDIUM,30.0,3.0
46,2019,Bahrain,KUB,MEDIUM-SOFT-MEDIUM,2,1.0,MEDIUM,11.0,1.0
47,2019,Bahrain,KUB,MEDIUM-SOFT-MEDIUM,2,2.0,SOFT,16.0,2.0
48,2019,Bahrain,KUB,MEDIUM-SOFT-MEDIUM,2,3.0,MEDIUM,28.0,3.0
49,2019,Bahrain,HUL,SOFT-SOFT-MEDIUM,2,1.0,SOFT,12.0,1.0
50,2019,Bahrain,HUL,SOFT-SOFT-MEDIUM,2,2.0,SOFT,20.0,2.0
51,2019,Bahrain,HUL,SOFT-SOFT-MEDIUM,2,3.0,MEDIUM,22.0,3.0
52,2019,Bahrain,RIC,SOFT-MEDIUM,1,1.0,SOFT,24.0,1.0
53,2019,Bahrain,RIC,SOFT-MEDIUM,1,2.0,MEDIUM,30.0,2.0
54,2019,Bahrain,SAI,SOFT-MEDIUM-HARD-SOFT,3,1.0,SOFT,4.0,1.0
55,2019,Bahrain,SAI,SOFT-MEDIUM-HARD-SOFT,3,2.0,MEDIUM,20.0,2.0
56,2019,Bahrain,SAI,SOFT-MEDIUM-HARD-SOFT,3,3.0,HARD,16.0,3.0
57,2019,Bahrain,SAI,SOFT-MEDIUM-HARD-SOFT,3,4.0,SOFT,13.0,4.0
58,2019,Bahrain,GRO,SOFT-MEDIUM,1,1.0,SOFT,1.0,1.0
59,2019,Bahrain,GRO,SOFT-MEDIUM,1,2.0,MEDIUM,15.0,2.0
60,2019,China,HAM,MEDIUM-HARD-MEDIUM,2,1.0,MEDIUM,22.0,1.0
61,2019,China,HAM,MEDIUM-HARD-MEDIUM,2,2.0,HARD,14.0,2.0
62,2019,China,HAM,MEDIUM-HARD-MEDIUM,2,3.0,MEDIUM,20.0,3.0
63,2019,China,BOT,MEDIUM-HARD-MEDIUM,2,1.0,MEDIUM,21.0,1.0
64,2019,China,BOT,MEDIUM-HARD-MEDIUM,2,2.0,HARD,15.0,2.0
65,2019,China,BOT,MEDIUM-HARD-MEDIUM,2,3.0,MEDIUM,20.0,3.0
66,2019,China,VET,MEDIUM-HARD-MEDIUM,2,1.0,MEDIUM,18.0,1.0
67,2019,China,VET,MEDIUM-HARD-MEDIUM,2,2.0,HARD,17.0,2.0
68,2019,China,VET,MEDIUM-HARD-MEDIUM,2,3.0,MEDIUM,21.0,3.0
69,2019,China,VER,MEDIUM-HARD-MEDIUM,2,1.0,MEDIUM,17.0,1.0
70,2019,China,VER,MEDIUM-HARD-MEDIUM,2,2.0,HARD,17.0,2.0
71,2019,China,VER,MEDIUM-HARD-MEDIUM,2,3.0,MEDIUM,22.0,3.0
72,2019,China,LEC,MEDIUM-HARD-MEDIUM,2,1.0,MEDIUM,22.0,1.0
73,2019,China,LEC,MEDIUM-HARD-MEDIUM,2,2.0,HARD,20.0,2.0
74,2019,China,LEC,MEDIUM-HARD-MEDIUM,2,3.0,MEDIUM,14.0,3.0
75,2019,China,GAS,SOFT-HARD-MEDIUM-SOFT,3,1.0,SOFT,19.0,1.0
76,2019,China,GAS,SOFT-HARD-MEDIUM-SOFT,3,2.0,HARD,20.0,2.0
77,2019,China,GAS,SOFT-HARD-MEDIUM-SOFT,3,3.0,MEDIUM,14.0,3.0
78,2019,China,GAS,SOFT-HARD-MEDIUM-SOFT,3,4.0,SOFT,3.0,4.0
79,2019,China,RIC,SOFT-HARD,1,1.0,SOFT,18.0,1.0
80,2019,China,RIC,SOFT-HARD,1,2.0,HARD,37.0,2.0
81,2019,China,PER,MEDIUM-HARD,1,1.0,MEDIUM,20.0,1.0
82,2019,China,PER,MEDIUM-HARD,1,2.0,HARD,35.0,2.0
83,2019,China,RAI,MEDIUM-HARD,1,1.0,MEDIUM,25.0,1.0
84,2019,China,RAI,MEDIUM-HARD,1,2.0,HARD,30.0,2.0
85,2019,China,ALB,SOFT-HARD,1,1.0,SOFT,19.0,1.0
86,2019,China,ALB,SOFT-HARD,1,2.0,HARD,36.0,2.0
87,2019,China,GRO,SOFT-HARD-MEDIUM,2,1.0,SOFT,8.0,1.0
88,2019,China,GRO,SOFT-HARD-MEDIUM,2,2.0,HARD,27.0,2.0
89,2019,China,GRO,SOFT-HARD-MEDIUM,2,3.0,MEDIUM,20.0,3.0
90,2019,China,STR,MEDIUM-HARD-SOFT,2,1.0,MEDIUM,20.0,1.0
91,2019,China,STR,MEDIUM-HARD-SOFT,2,2.0,HARD,24.0,2.0
92,2019,China,STR,MEDIUM-HARD-SOFT,2,3.0,SOFT,11.0,3.0
93,2019,China,MAG,SOFT-HARD-MEDIUM,2,1.0,SOFT,9.0,1.0
94,2019,China,MAG,SOFT-HARD-MEDIUM,2,2.0,HARD,24.0,2.0
95,2019,China,MAG,SOFT-HARD-MEDIUM,2,3.0,MEDIUM,22.0,3.0
96,2019,China,SAI,MEDIUM-HARD-SOFT,2,1.0,MEDIUM,1.0,1.0
97,2019,China,SAI,MEDIUM-HARD-SOFT,2,2.0,HARD,35.0,2.0
98,2019,China,SAI,MEDIUM-HARD-SOFT,2,3.0,SOFT,19.0,3.0
99,2019,China,GIO,SOFT-MEDIUM-MEDIUM,2,1.0,SOFT,7.0,1.0
100,2019,China,GIO,SOFT-MEDIUM-MEDIUM,2,2.0,MEDIUM,23.0,2.0
101,2019,China,GIO,SOFT-MEDIUM-MEDIUM,2,3.0,MEDIUM,25.0,3.0
102,2019,China,RUS,MEDIUM-HARD-SOFT,2,1.0,MEDIUM,22.0,1.0
103,2019,China,RUS,MEDIUM-HARD-SOFT,2,2.0,HARD,27.0,2.0
104,2019,China,RUS,MEDIUM-HARD-SOFT,2,3.0,SOFT,5.0,3.0
105,2019,China,KUB,MEDIUM-HARD,1,1.0,MEDIUM,26.0,1.0
106,2019,China,KUB,MEDIUM-HARD,1,2.0,HARD,28.0,2.0
107,2019,China,NOR,MEDIUM-HARD-MEDIUM-SOFT,3,1.0,MEDIUM,1.0,1.0
