,GP,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress
0,Bahrain,5.412,5,4,4,4,3,3,3,3
1,Saudi Arabia,6.174,2,2,2,4,3,3,2,3
2,Australia,5.278,2,2,2,4,3,3,3,3
3,Japan,5.807,4,3,2,3,3,5,4,5
4,China,5.451,3,NA,NA,NA,3,4,2,4
5,Miami,5.412,2,3,3,5,3,3,2,3
6,Imola,4.909,3,2,3,3,2,3,3,3
7,Monaco,3.337,1,5,2,5,1,1,5,1
8,Spain,4.657,4,3,3,3,3,5,4,5
9,Canada,4.361,2,5,5,5,1,1,1,3
10,Austria,4.318,4,2,3,3,3,3,3,3
11,Great Britain,5.891,3,3,2,2,3,5,4,5
12,Hungary,4.381,2,4,3,4,3,3,5,3
13,Belgium,7.004,4,4,4,3,3,5,2,5
14,Netherlands,4.259,3,4,3,4,2,4,4,5
15,Azerbaijan,6.003,1,5,4,5,1,1,1,3
16,Singapore,4.94,3,4,5,4,3,2,5,2
17,Austin,5.513,4,4,3,4,3,4,4,4
18,Mexico,4.304,2,3,3,3,1,2,5,2
19,Brazil,4.309,4,3,3,4,3,3,4,3
20,Qatar,5.419,3,3,3,4,3,5,4,5
21,Abu Dhabi,5.218,3,4,4,4,4,3,3,3
22,France,5.842,3,4,2,3,3,4,3,4
23,Styria,4.318,4,2,3,3,3,3,3,3
24,Germany,4.574,2,NA,NA,NA,3,3,3,3
25,Russia,5.848,2,NA,NA,NA,3,3,4,2
26,70th,5.891,3,3,2,2,3,5,4,5
27,Eifel,5.148,3,3,4,NA,3,3,4,3
28,Turkey,5.338,3,3,3,NA,3,4,4,5
29,Portugal,4.653,2,4,4,NA,2,3,4,4
30,Sakhir,5.412,5,4,4,4,3,3,3,3
31,Monza,5.793,3,3,4,3,2,2,1,3
