Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,IsAccurate,Unnamed: 0,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,LapTimePerKM
GAS,Red Bull Racing,9.0,102.197,1.0,SOFT,12.0,13.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.88340724316334
GAS,Red Bull Racing,39.0,101.894,2.0,SOFT,30.0,5.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.827420546932743
PER,Aston Martin,8.0,101.397,1.0,SOFT,8.0,11.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.73558758314856
PER,Aston Martin,33.0,103.85700000000001,2.0,MEDIUM,25.0,11.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,19.190133037694014
LEC,Ferrari,13.0,99.99600000000001,1.0,SOFT,16.0,1.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.476718403547675
LEC,Ferrari,36.0,100.447,2.0,MEDIUM,23.0,1.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.560051736881007
STR,Aston Martin,23.0,103.367,2.0,MEDIUM,22.0,18.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,19.09959349593496
MAG,Haas F1 Team,10.0,101.536,1.0,SOFT,13.0,11.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.761271249076128
MAG,Haas F1 Team,38.0,104.498,2.0,MEDIUM,28.0,15.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,19.308573540280857
ALB,AlphaTauri,9.0,102.61,1.0,SOFT,12.0,14.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.959719142645973
ALB,AlphaTauri,25.0,101.438,2.0,SOFT,16.0,12.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.743163340724315
KVY,AlphaTauri,12.0,116.914,1.0,SOFT,12.0,13.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.602734663710272
KVY,AlphaTauri,38.0,101.81,2.0,MEDIUM,26.0,13.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.81189948263119
HUL,Alpine,12.0,100.753,1.0,SOFT,12.0,6.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.61659275683666
HUL,Alpine,32.0,101.25200000000001,2.0,SOFT,20.0,6.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.70879526977088
RIC,Alpine,24.0,102.732,1.0,SOFT,24.0,9.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.982261640798228
VER,Red Bull Racing,11.0,100.63300000000001,1.0,SOFT,14.0,5.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.594419807834445
VER,Red Bull Racing,32.0,101.54,2.0,MEDIUM,21.0,5.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.7620103473762
NOR,McLaren,10.0,101.271,1.0,SOFT,13.0,9.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.71230598669623
NOR,McLaren,34.0,101.95800000000001,2.0,MEDIUM,24.0,6.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.83924611973393
HAM,Mercedes,13.0,100.72000000000001,1.0,SOFT,16.0,3.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.610495195861052
HAM,Mercedes,34.0,100.15700000000001,2.0,SOFT,21.0,3.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.506467110125648
VET,Ferrari,14.0,100.43400000000001,1.0,SOFT,17.0,1.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.557649667405766
VET,Ferrari,35.0,100.527,2.0,MEDIUM,21.0,2.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.574833702882483
VET,Ferrari,38.0,123.49300000000001,3.0,MEDIUM,3.0,4.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.81836659275684
SAI,McLaren,4.0,135.038,1.0,SOFT,7.0,18.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,24.95158906134516
SAI,McLaren,24.0,104.566,2.0,MEDIUM,20.0,18.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,19.321138211382113
SAI,McLaren,40.0,101.31,3.0,HARD,17.0,18.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.71951219512195
SAI,McLaren,53.0,104.82400000000001,4.0,SOFT,16.0,17.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,19.368810051736883
RUS,Williams,12.0,103.06,1.0,SOFT,12.0,16.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,19.042867701404287
RUS,Williams,26.0,102.30600000000001,2.0,MEDIUM,14.0,16.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.903547671840357
RAI,Alfa Romeo,9.0,100.69600000000001,1.0,SOFT,12.0,8.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.60606060606061
RAI,Alfa Romeo,33.0,103.346,2.0,MEDIUM,24.0,8.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,19.095713229859573
