Unnamed: 0,GP,Circuit,PitstopT,Driver,Year,Team
0,1,Australia,32.997,kubica,2019,Williams
1,1,Australia,33.027,ricciardo,2019,Renault
2,1,Australia,23.299,raikkonen,2019,Alfa Romeo
3,1,Australia,21.588,hulkenberg,2019,Renault
4,1,Australia,23.234,perez,2019,Racing Point
5,1,Australia,21.995,vettel,2019,Ferrari
6,1,Australia,22.388,kevin_magnussen,2019,Unknown
7,1,Australia,21.780,albon,2019,Red Bull Racing
8,1,Australia,21.515,hamilton,2019,Mercedes
9,1,Australia,29.981,grosjean,2019,Haas F1 Team
10,1,Australia,21.627,norris,2019,McLaren
11,1,Australia,22.014,bottas,2019,Mercedes
12,1,Australia,21.157,max_verstappen,2019,Unknown
13,1,Australia,22.086,kvyat,2019,AlphaTauri
14,1,Australia,21.689,russell,2019,Williams
15,1,Australia,22.471,stroll,2019,Racing Point
16,1,Australia,27.172,giovinazzi,2019,Alfa Romeo
17,1,Australia,22.306,leclerc,2019,Ferrari
18,1,Australia,22.343,kubica,2019,Williams
19,1,Australia,21.269,gasly,2019,AlphaTauri
20,1,Australia,21.543,russell,2019,Williams
21,2,Bahrain,34.338,stroll,2019,Racing Point
22,2,Bahrain,32.082,grosjean,2019,Haas F1 Team
23,2,Bahrain,45.543,sainz,2019,McLaren
24,2,Bahrain,27.136,perez,2019,Racing Point
25,2,Bahrain,25.647,raikkonen,2019,Alfa Romeo
26,2,Bahrain,27.557,gasly,2019,AlphaTauri
27,2,Bahrain,25.659,albon,2019,Red Bull Racing
28,2,Bahrain,24.175,norris,2019,McLaren
29,2,Bahrain,24.948,kevin_magnussen,2019,Unknown
30,2,Bahrain,24.199,max_verstappen,2019,Unknown
31,2,Bahrain,24.667,kubica,2019,Williams
32,2,Bahrain,24.865,bottas,2019,Mercedes
33,2,Bahrain,25.498,hulkenberg,2019,Renault
34,2,Bahrain,26.508,kvyat,2019,AlphaTauri
35,2,Bahrain,24.633,russell,2019,Williams
36,2,Bahrain,24.518,leclerc,2019,Ferrari
37,2,Bahrain,24.255,hamilton,2019,Mercedes
38,2,Bahrain,24.228,vettel,2019,Ferrari
39,2,Bahrain,27.725,giovinazzi,2019,Alfa Romeo
40,2,Bahrain,26.600,stroll,2019,Racing Point
41,2,Bahrain,25.676,ricciardo,2019,Renault
42,2,Bahrain,25.034,sainz,2019,McLaren
43,2,Bahrain,24.842,albon,2019,Red Bull Racing
44,2,Bahrain,24.912,russell,2019,Williams
45,2,Bahrain,24.313,kubica,2019,Williams
46,2,Bahrain,26.729,max_verstappen,2019,Unknown
47,2,Bahrain,25.253,hulkenberg,2019,Renault
48,2,Bahrain,25.621,raikkonen,2019,Alfa Romeo
49,2,Bahrain,26.798,perez,2019,Racing Point
50,2,Bahrain,24.324,hamilton,2019,Mercedes
51,2,Bahrain,24.717,norris,2019,McLaren
52,2,Bahrain,24.212,vettel,2019,Ferrari
53,2,Bahrain,24.358,leclerc,2019,Ferrari
54,2,Bahrain,24.433,bottas,2019,Mercedes
55,2,Bahrain,34.193,vettel,2019,Ferrari
56,2,Bahrain,30.761,kvyat,2019,AlphaTauri
57,2,Bahrain,25.982,kevin_magnussen,2019,Unknown
58,2,Bahrain,24.484,gasly,2019,AlphaTauri
59,2,Bahrain,24.880,giovinazzi,2019,Alfa Romeo
60,3,China,45.878,sainz,2019,McLaren
61,3,China,50.738,norris,2019,McLaren
62,3,China,17.257,kvyat,2019,AlphaTauri
63,3,China,25.184,giovinazzi,2019,Alfa Romeo
64,3,China,23.261,grosjean,2019,Haas F1 Team
65,3,China,23.964,kevin_magnussen,2019,Unknown
66,3,China,24.107,hulkenberg,2019,Renault
67,3,China,23.223,max_verstappen,2019,Unknown
68,3,China,33.638,norris,2019,McLaren
69,3,China,22.749,vettel,2019,Ferrari
70,3,China,23.506,ricciardo,2019,Renault
71,3,China,22.301,gasly,2019,AlphaTauri
72,3,China,23.215,albon,2019,Red Bull Racing
73,3,China,23.733,perez,2019,Racing Point
74,3,China,23.466,stroll,2019,Racing Point
75,3,China,22.196,bottas,2019,Mercedes
76,3,China,22.644,hamilton,2019,Mercedes
77,3,China,22.921,leclerc,2019,Ferrari
78,3,China,24.332,russell,2019,Williams
79,3,China,23.888,raikkonen,2019,Alfa Romeo
80,3,China,26.050,kvyat,2019,AlphaTauri
81,3,China,32.627,kubica,2019,Williams
82,3,China,25.137,giovinazzi,2019,Alfa Romeo
83,3,China,43.206,kvyat,2019,AlphaTauri
84,3,China,23.383,kevin_magnussen,2019,Unknown
85,3,China,22.365,max_verstappen,2019,Unknown
86,3,China,22.316,vettel,2019,Ferrari
87,3,China,22.524,norris,2019,McLaren
88,3,China,23.520,grosjean,2019,Haas F1 Team
89,3,China,23.597,hamilton,2019,Mercedes
90,3,China,24.083,bottas,2019,Mercedes
91,3,China,22.532,sainz,2019,McLaren
92,3,China,22.722,gasly,2019,AlphaTauri
93,3,China,24.227,leclerc,2019,Ferrari
94,3,China,23.515,stroll,2019,Racing Point
95,3,China,23.965,russell,2019,Williams
96,4,Azerbaijan,21.013,kvyat,2019,AlphaTauri
97,4,Azerbaijan,21.401,raikkonen,2019,Alfa Romeo
98,4,Azerbaijan,20.118,kevin_magnussen,2019,Unknown
99,4,Azerbaijan,20.776,giovinazzi,2019,Alfa Romeo
100,4,Azerbaijan,21.325,hulkenberg,2019,Renault
101,4,Azerbaijan,19.819,norris,2019,McLaren
102,4,Azerbaijan,20.939,perez,2019,Racing Point
103,4,Azerbaijan,23.099,stroll,2019,Racing Point
104,4,Azerbaijan,20.884,ricciardo,2019,Renault
105,4,Azerbaijan,19.981,vettel,2019,Ferrari
106,4,Azerbaijan,20.006,bottas,2019,Mercedes
107,4,Azerbaijan,19.755,sainz,2019,McLaren
108,4,Azerbaijan,20.720,albon,2019,Red Bull Racing
109,4,Azerbaijan,19.993,hamilton,2019,Mercedes
110,4,Azerbaijan,20.973,max_verstappen,2019,Unknown
111,4,Azerbaijan,15.069,kubica,2019,Williams
112,4,Azerbaijan,21.037,kubica,2019,Williams
113,4,Azerbaijan,20.475,russell,2019,Williams
114,4,Azerbaijan,20.382,leclerc,2019,Ferrari
115,4,Azerbaijan,20.870,hulkenberg,2019,Renault
116,4,Azerbaijan,20.906,grosjean,2019,Haas F1 Team
117,4,Azerbaijan,20.751,russell,2019,Williams
118,4,Azerbaijan,22.080,norris,2019,McLaren
119,4,Azerbaijan,20.859,kevin_magnussen,2019,Unknown
120,4,Azerbaijan,20.703,kubica,2019,Williams
121,5,Spain,22.381,giovinazzi,2019,Alfa Romeo
122,5,Spain,23.746,vettel,2019,Ferrari
123,5,Spain,22.417,max_verstappen,2019,Unknown
124,5,Spain,22.049,kvyat,2019,AlphaTauri
125,5,Spain,22.563,gasly,2019,AlphaTauri
126,5,Spain,23.321,stroll,2019,Racing Point
127,5,Spain,22.025,kevin_magnussen,2019,Unknown
128,5,Spain,22.379,ricciardo,2019,Renault
129,5,Spain,21.468,sainz,2019,McLaren
130,5,Spain,22.781,perez,2019,Racing Point
131,5,Spain,23.646,leclerc,2019,Ferrari
132,5,Spain,23.591,albon,2019,Red Bull Racing
133,5,Spain,22.034,bottas,2019,Mercedes
134,5,Spain,22.379,grosjean,2019,Haas F1 Team
135,5,Spain,21.579,norris,2019,McLaren
136,5,Spain,22.265,hamilton,2019,Mercedes
137,5,Spain,22.342,raikkonen,2019,Alfa Romeo
138,5,Spain,21.954,kubica,2019,Williams
139,5,Spain,22.442,russell,2019,Williams
140,5,Spain,22.193,hulkenberg,2019,Renault
141,5,Spain,21.643,vettel,2019,Ferrari
142,5,Spain,23.507,giovinazzi,2019,Alfa Romeo
143,5,Spain,22.540,max_verstappen,2019,Unknown
144,5,Spain,22.018,bottas,2019,Mercedes
145,5,Spain,33.821,kvyat,2019,AlphaTauri
146,5,Spain,22.992,kevin_magnussen,2019,Unknown
147,5,Spain,37.345,albon,2019,Red Bull Racing
148,5,Spain,22.511,hamilton,2019,Mercedes
149,5,Spain,22.702,ricciardo,2019,Renault
150,5,Spain,22.896,perez,2019,Racing Point
151,5,Spain,21.846,russell,2019,Williams
152,5,Spain,21.638,leclerc,2019,Ferrari
153,5,Spain,22.549,raikkonen,2019,Alfa Romeo
154,5,Spain,22.142,kubica,2019,Williams
155,5,Spain,22.095,gasly,2019,AlphaTauri
156,5,Spain,22.732,grosjean,2019,Haas F1 Team
157,6,Monaco,25.532,hulkenberg,2019,Renault
158,6,Monaco,25.964,leclerc,2019,Ferrari
159,6,Monaco,26.165,russell,2019,Williams
160,6,Monaco,24.266,hamilton,2019,Mercedes
161,6,Monaco,25.030,bottas,2019,Mercedes
162,6,Monaco,24.011,max_verstappen,2019,Unknown
163,6,Monaco,24.483,vettel,2019,Ferrari
164,6,Monaco,24.269,ricciardo,2019,Renault
165,6,Monaco,25.419,kevin_magnussen,2019,Unknown
166,6,Monaco,28.463,perez,2019,Racing Point
167,6,Monaco,24.776,bottas,2019,Mercedes
168,6,Monaco,25.705,leclerc,2019,Ferrari
169,6,Monaco,23.946,kubica,2019,Williams
170,6,Monaco,24.161,gasly,2019,AlphaTauri
171,6,Monaco,23.795,sainz,2019,McLaren
172,6,Monaco,24.023,kvyat,2019,AlphaTauri
173,6,Monaco,24.591,stroll,2019,Racing Point
174,6,Monaco,25.062,albon,2019,Red Bull Racing
175,6,Monaco,35.651,giovinazzi,2019,Alfa Romeo
176,6,Monaco,26.299,raikkonen,2019,Alfa Romeo
177,6,Monaco,25.026,norris,2019,McLaren
178,6,Monaco,24.219,grosjean,2019,Haas F1 Team
179,7,Canada,37.950,albon,2019,Red Bull Racing
180,7,Canada,24.727,sainz,2019,McLaren
181,7,Canada,25.342,raikkonen,2019,Alfa Romeo
182,7,Canada,23.485,gasly,2019,AlphaTauri
183,7,Canada,23.927,ricciardo,2019,Renault
184,7,Canada,25.210,kubica,2019,Williams
185,7,Canada,23.686,russell,2019,Williams
186,7,Canada,24.076,perez,2019,Racing Point
187,7,Canada,23.825,kvyat,2019,AlphaTauri
188,7,Canada,24.030,hulkenberg,2019,Renault
189,7,Canada,23.782,vettel,2019,Ferrari
190,7,Canada,23.662,hamilton,2019,Mercedes
191,7,Canada,23.994,bottas,2019,Mercedes
192,7,Canada,23.732,leclerc,2019,Ferrari
193,7,Canada,23.884,giovinazzi,2019,Alfa Romeo
194,7,Canada,24.071,grosjean,2019,Haas F1 Team
195,7,Canada,23.119,kubica,2019,Williams
196,7,Canada,24.381,kevin_magnussen,2019,Unknown
197,7,Canada,23.727,stroll,2019,Racing Point
198,7,Canada,23.426,max_verstappen,2019,Unknown
199,7,Canada,24.666,raikkonen,2019,Alfa Romeo
200,8,France,30.842,giovinazzi,2019,Alfa Romeo
201,8,France,31.031,ricciardo,2019,Renault
202,8,France,30.832,kevin_magnussen,2019,Unknown
203,8,France,30.228,gasly,2019,AlphaTauri
204,8,France,30.576,norris,2019,McLaren
205,8,France,37.286,perez,2019,Racing Point
206,8,France,29.920,sainz,2019,McLaren
207,8,France,30.118,max_verstappen,2019,Unknown
208,8,France,30.203,leclerc,2019,Ferrari
209,8,France,30.412,bottas,2019,Mercedes
210,8,France,30.186,hamilton,2019,Mercedes
211,8,France,29.792,kubica,2019,Williams
212,8,France,30.044,vettel,2019,Ferrari
213,8,France,30.279,albon,2019,Red Bull Racing
214,8,France,31.950,russell,2019,Williams
215,8,France,29.975,raikkonen,2019,Alfa Romeo
216,8,France,30.837,grosjean,2019,Haas F1 Team
217,8,France,30.233,kvyat,2019,AlphaTauri
218,8,France,37.494,russell,2019,Williams
219,8,France,30.884,hulkenberg,2019,Renault
220,8,France,31.697,giovinazzi,2019,Alfa Romeo
221,8,France,30.849,stroll,2019,Racing Point
222,9,Austria,23.243,kevin_magnussen,2019,Unknown
223,9,Austria,16.224,kevin_magnussen,2019,Unknown
224,9,Austria,21.525,kubica,2019,Williams
225,9,Austria,22.552,bottas,2019,Mercedes
226,9,Austria,25.236,vettel,2019,Ferrari
227,9,Austria,21.878,leclerc,2019,Ferrari
228,9,Austria,21.709,raikkonen,2019,Alfa Romeo
229,9,Austria,21.672,giovinazzi,2019,Alfa Romeo
230,9,Austria,21.547,norris,2019,McLaren
231,9,Austria,22.239,gasly,2019,AlphaTauri
232,9,Austria,21.982,stroll,2019,Racing Point
233,9,Austria,21.985,hulkenberg,2019,Renault
234,9,Austria,22.772,russell,2019,Williams
235,9,Austria,22.330,perez,2019,Racing Point
236,9,Austria,30.067,hamilton,2019,Mercedes
237,9,Austria,21.110,max_verstappen,2019,Unknown
