LapNumber,GP,Year,TrackStatus,Label
1,Bahrain,2019,2,Yellow flag
2,Bahrain,2019,2,Yellow flag
3,Bahrain,2019,1,Green flag
4,Bahrain,2019,2,Yellow flag
5,Bahrain,2019,1,Green flag
6,Bahrain,2019,2,Yellow flag
7,Bahrain,2019,1,Green flag
8,Bahrain,2019,1,Green flag
9,Bahrain,2019,1,Green flag
10,Bahrain,2019,1,Green flag
11,Bahrain,2019,1,Green flag
12,Bahrain,2019,2,Yellow flag
13,Bahrain,2019,1,Green flag
14,Bahrain,2019,1,Green flag
15,Bahrain,2019,1,Green flag
16,Bahrain,2019,1,Green flag
17,Bahrain,2019,1,Green flag
18,Bahrain,2019,1,Green flag
19,Bahrain,2019,1,Green flag
20,Bahrain,2019,1,Green flag
21,Bahrain,2019,1,Green flag
22,Bahrain,2019,1,Green flag
23,Bahrain,2019,1,Green flag
24,Bahrain,2019,1,Green flag
25,Bahrain,2019,1,Green flag
26,Bahrain,2019,1,Green flag
27,Bahrain,2019,1,Green flag
28,Bahrain,2019,1,Green flag
29,Bahrain,2019,1,Green flag
30,Bahrain,2019,1,Green flag
31,Bahrain,2019,1,Green flag
32,Bahrain,2019,1,Green flag
33,Bahrain,2019,1,Green flag
34,Bahrain,2019,1,Green flag
35,Bahrain,2019,1,Green flag
36,Bahrain,2019,1,Green flag
37,Bahrain,2019,2,Yellow flag
38,Bahrain,2019,1,Green flag
39,Bahrain,2019,1,Green flag
40,Bahrain,2019,2,Yellow flag
41,Bahrain,2019,1,Green flag
42,Bahrain,2019,2,Yellow flag
43,Bahrain,2019,1,Green flag
44,Bahrain,2019,1,Green flag
45,Bahrain,2019,1,Green flag
46,Bahrain,2019,1,Green flag
47,Bahrain,2019,1,Green flag
48,Bahrain,2019,1,Green flag
49,Bahrain,2019,1,Green flag
50,Bahrain,2019,1,Green flag
51,Bahrain,2019,1,Green flag
52,Bahrain,2019,1,Green flag
53,Bahrain,2019,1,Green flag
54,Bahrain,2019,2,Yellow flag
55,Bahrain,2019,4,Safety Car
56,Bahrain,2019,4,Safety Car
57,Bahrain,2019,4,Safety Car
1,China,2019,26,Virtual Safety Car
2,China,2019,67,Virtual Safety Car
3,China,2019,1,Green flag
4,China,2019,1,Green flag
5,China,2019,1,Green flag
6,China,2019,1,Green flag
7,China,2019,1,Green flag
8,China,2019,1,Green flag
9,China,2019,1,Green flag
10,China,2019,1,Green flag
11,China,2019,1,Green flag
12,China,2019,1,Green flag
13,China,2019,1,Green flag
14,China,2019,1,Green flag
15,China,2019,1,Green flag
16,China,2019,1,Green flag
17,China,2019,1,Green flag
18,China,2019,1,Green flag
19,China,2019,1,Green flag
20,China,2019,1,Green flag
21,China,2019,1,Green flag
22,China,2019,1,Green flag
23,China,2019,1,Green flag
24,China,2019,1,Green flag
25,China,2019,1,Green flag
26,China,2019,1,Green flag
27,China,2019,1,Green flag
28,China,2019,1,Green flag
29,China,2019,1,Green flag
30,China,2019,1,Green flag
31,China,2019,1,Green flag
