,Driver,Stint,Compound,GP,Year,StintLength
0,ALB,1.0,HARD,Australia,2022,34
1,ALB,1.0,HARD,Mexico,2023,30
2,ALB,1.0,MEDIUM,Abu Dhabi,2019,12
3,ALB,1.0,MEDIUM,Abu Dhabi,2022,10
4,ALB,1.0,MEDIUM,Abu Dhabi,2023,13
5,ALB,1.0,MEDIUM,Austin,2022,6
6,ALB,1.0,MEDIUM,Austin,2023,8
7,ALB,1.0,MEDIUM,Australia,2023,3
8,ALB,1.0,MEDIUM,Austria,2019,29
9,ALB,1.0,MEDIUM,Austria,2022,8
10,ALB,1.0,MEDIUM,Azerbaijan,2022,7
11,ALB,1.0,MEDIUM,Azerbaijan,2023,5
12,ALB,1.0,MEDIUM,Belgium,2019,17
13,ALB,1.0,MEDIUM,Belgium,2022,5
14,ALB,1.0,MEDIUM,Canada,2022,13
15,ALB,1.0,MEDIUM,Canada,2023,9
16,ALB,1.0,MEDIUM,China,2022,13
17,ALB,1.0,MEDIUM,China,2023,9
18,ALB,1.0,MEDIUM,Great Britain,2023,30
19,ALB,1.0,MEDIUM,Hungary,2023,2
20,ALB,1.0,MEDIUM,Imola,2023,14
21,ALB,1.0,MEDIUM,Mexico,2019,10
22,ALB,1.0,MEDIUM,Mexico,2022,31
23,ALB,1.0,MEDIUM,Miami,2022,12
24,ALB,1.0,MEDIUM,Miami,2023,20
25,ALB,1.0,MEDIUM,Monaco,2023,15
26,ALB,1.0,MEDIUM,Monza,2023,14
27,ALB,1.0,MEDIUM,Qatar,2022,8
28,ALB,1.0,MEDIUM,Qatar,2023,4
29,ALB,1.0,MEDIUM,Saudi Arabia,2022,4
30,ALB,1.0,MEDIUM,Saudi Arabia,2023,14
31,ALB,1.0,MEDIUM,Singapore,2023,17
32,ALB,1.0,SOFT,Abu Dhabi,2020,8
33,ALB,1.0,SOFT,Australia,2019,11
34,ALB,1.0,SOFT,Austria,2020,19
35,ALB,1.0,SOFT,Bahrain,2019,6
36,ALB,1.0,SOFT,Bahrain,2022,3
37,ALB,1.0,SOFT,Bahrain,2023,3
38,ALB,1.0,SOFT,Belgium,2020,9
39,ALB,1.0,SOFT,Belgium,2023,2
40,ALB,1.0,SOFT,Brazil,2019,22
41,ALB,1.0,SOFT,China,2019,12
42,ALB,1.0,SOFT,Great Britain,2019,11
43,ALB,1.0,SOFT,Japan,2019,13
44,ALB,1.0,SOFT,Monaco,2019,22
45,ALB,1.0,SOFT,Monaco,2020,18
46,ALB,1.0,SOFT,Monza,2019,22
47,ALB,1.0,SOFT,Monza,2020,18
48,ALB,1.0,SOFT,Netherlands,2023,27
49,ALB,1.0,SOFT,Singapore,2019,8
50,ALB,1.0,SOFT,Spain,2019,4
51,ALB,2.0,HARD,Abu Dhabi,2019,41
52,ALB,2.0,HARD,Abu Dhabi,2020,42
53,ALB,2.0,HARD,Abu Dhabi,2022,22
54,ALB,2.0,HARD,Abu Dhabi,2023,26
55,ALB,2.0,HARD,Austin,2023,18
56,ALB,2.0,HARD,Austria,2019,34
57,ALB,2.0,HARD,Austria,2020,20
58,ALB,2.0,HARD,Austria,2022,1
59,ALB,2.0,HARD,Azerbaijan,2022,18
60,ALB,2.0,HARD,Azerbaijan,2023,38
61,ALB,2.0,HARD,Belgium,2022,14
62,ALB,2.0,HARD,Canada,2019,29
63,ALB,2.0,HARD,Canada,2022,27
64,ALB,2.0,HARD,Canada,2023,53
65,ALB,2.0,HARD,China,2019,35
66,ALB,2.0,HARD,China,2022,27
67,ALB,2.0,HARD,China,2023,53
68,ALB,2.0,HARD,Great Britain,2020,14
69,ALB,2.0,HARD,Hungary,2019,21
70,ALB,2.0,HARD,Hungary,2023,21
71,ALB,2.0,HARD,Imola,2023,35
72,ALB,2.0,HARD,Miami,2022,33
73,ALB,2.0,HARD,Miami,2023,34
74,ALB,2.0,HARD,Monaco,2023,30
75,ALB,2.0,HARD,Monza,2023,35
76,ALB,2.0,HARD,Qatar,2022,1
