Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP
GAS,AlphaTauri,1.0,114.003,1.0,WET,1.0,6.0,2021,Imola
GAS,AlphaTauri,2.0,143.03,1.0,WET,2.0,6.0,2021,Imola
GAS,AlphaTauri,3.0,140.848,1.0,WET,3.0,6.0,2021,Imola
GAS,AlphaTauri,4.0,144.697,1.0,WET,4.0,6.0,2021,Imola
GAS,AlphaTauri,5.0,143.93200000000002,1.0,WET,5.0,6.0,2021,Imola
GAS,AlphaTauri,6.0,133.841,1.0,WET,6.0,6.0,2021,Imola
GAS,AlphaTauri,7.0,105.63900000000001,1.0,WET,7.0,6.0,2021,Imola
GAS,AlphaTauri,8.0,98.549,1.0,WET,8.0,6.0,2021,Imola
GAS,AlphaTauri,9.0,100.32400000000001,1.0,WET,9.0,8.0,2021,Imola
GAS,AlphaTauri,10.0,97.47500000000001,1.0,WET,10.0,8.0,2021,Imola
GAS,AlphaTauri,11.0,98.77000000000001,1.0,WET,11.0,10.0,2021,Imola
GAS,AlphaTauri,12.0,97.12100000000001,1.0,WET,12.0,12.0,2021,Imola
GAS,AlphaTauri,13.0,100.82300000000001,1.0,WET,13.0,15.0,2021,Imola
GAS,AlphaTauri,14.0,100.055,1.0,WET,14.0,17.0,2021,Imola
OCO,Alpine,1.0,125.38700000000001,1.0,WET,1.0,10.0,2021,Imola
MSC,Haas F1 Team,1.0,129.679,1.0,WET,1.0,16.0,2021,Imola
MSC,Haas F1 Team,2.0,141.704,1.0,WET,2.0,15.0,2021,Imola
MSC,Haas F1 Team,3.0,140.08,1.0,WET,3.0,15.0,2021,Imola
MSC,Haas F1 Team,4.0,,1.0,WET,4.0,19.0,2021,Imola
MSC,Haas F1 Team,5.0,145.633,1.0,WET,5.0,19.0,2021,Imola
MAZ,Haas F1 Team,1.0,133.405,1.0,WET,1.0,19.0,2021,Imola
MAZ,Haas F1 Team,2.0,146.056,1.0,WET,2.0,19.0,2021,Imola
MAZ,Haas F1 Team,3.0,138.071,1.0,WET,3.0,18.0,2021,Imola
MAZ,Haas F1 Team,4.0,142.477,1.0,WET,4.0,17.0,2021,Imola
MAZ,Haas F1 Team,5.0,143.33700000000002,1.0,WET,5.0,17.0,2021,Imola
MAZ,Haas F1 Team,6.0,124.816,1.0,WET,6.0,17.0,2021,Imola
MAZ,Haas F1 Team,7.0,107.421,1.0,WET,7.0,18.0,2021,Imola
MAZ,Haas F1 Team,8.0,103.599,1.0,WET,8.0,18.0,2021,Imola
MAZ,Haas F1 Team,9.0,101.90700000000001,1.0,WET,9.0,18.0,2021,Imola
MAZ,Haas F1 Team,10.0,100.80900000000001,1.0,WET,10.0,18.0,2021,Imola
MAZ,Haas F1 Team,11.0,101.71100000000001,1.0,WET,11.0,18.0,2021,Imola
MAZ,Haas F1 Team,12.0,105.25800000000001,1.0,WET,12.0,18.0,2021,Imola
VER,Red Bull Racing,1.0,207.07100000000003,2.0,WET,2.0,1.0,2021,Belgium
VER,Red Bull Racing,2.0,,2.0,WET,3.0,1.0,2021,Belgium
VER,Red Bull Racing,3.0,,2.0,WET,4.0,1.0,2021,Belgium
RUS,Williams,1.0,209.066,2.0,WET,1.0,2.0,2021,Belgium
RUS,Williams,2.0,,2.0,WET,2.0,2.0,2021,Belgium
RUS,Williams,3.0,,2.0,WET,3.0,2.0,2021,Belgium
LAT,Williams,1.0,222.556,2.0,WET,1.0,9.0,2021,Belgium
LAT,Williams,2.0,,2.0,WET,2.0,9.0,2021,Belgium
LAT,Williams,3.0,,2.0,WET,3.0,9.0,2021,Belgium
GIO,Alfa Romeo Racing,1.0,231.234,2.0,WET,1.0,13.0,2021,Belgium
GIO,Alfa Romeo Racing,2.0,,2.0,WET,2.0,13.0,2021,Belgium
GIO,Alfa Romeo Racing,3.0,,2.0,WET,3.0,13.0,2021,Belgium
MSC,Haas F1 Team,1.0,236.578,2.0,WET,4.0,16.0,2021,Belgium
MSC,Haas F1 Team,2.0,,2.0,WET,5.0,16.0,2021,Belgium
MSC,Haas F1 Team,3.0,,2.0,WET,6.0,16.0,2021,Belgium
MAZ,Haas F1 Team,1.0,239.06400000000002,2.0,WET,5.0,17.0,2021,Belgium
MAZ,Haas F1 Team,2.0,,2.0,WET,6.0,17.0,2021,Belgium
MAZ,Haas F1 Team,3.0,,2.0,WET,7.0,17.0,2021,Belgium
RAI,Alfa Romeo Racing,1.0,243.12500000000003,3.0,WET,1.0,19.0,2021,Belgium
RAI,Alfa Romeo Racing,2.0,,3.0,WET,2.0,19.0,2021,Belgium
RAI,Alfa Romeo Racing,3.0,,3.0,WET,3.0,19.0,2021,Belgium
VER,Red Bull Racing,3.0,,2.0,WET,1.0,1.0,2022,Japan
VER,Red Bull Racing,4.0,,2.0,WET,2.0,1.0,2022,Japan
VER,Red Bull Racing,5.0,,2.0,WET,3.0,1.0,2022,Japan
VER,Red Bull Racing,6.0,110.76100000000001,2.0,WET,4.0,1.0,2022,Japan
VER,Red Bull Racing,7.0,112.86500000000001,2.0,WET,5.0,1.0,2022,Japan
GAS,AlphaTauri,2.0,,2.0,WET,1.0,18.0,2022,Japan
GAS,AlphaTauri,3.0,,3.0,WET,1.0,18.0,2022,Japan
GAS,AlphaTauri,4.0,,3.0,WET,2.0,18.0,2022,Japan
GAS,AlphaTauri,5.0,,3.0,WET,3.0,15.0,2022,Japan
GAS,AlphaTauri,6.0,117.89500000000001,3.0,WET,4.0,13.0,2022,Japan
GAS,AlphaTauri,7.0,117.813,3.0,WET,5.0,14.0,2022,Japan
PER,Red Bull Racing,3.0,,2.0,WET,1.0,3.0,2022,Japan
PER,Red Bull Racing,4.0,,2.0,WET,2.0,3.0,2022,Japan
PER,Red Bull Racing,5.0,,2.0,WET,3.0,3.0,2022,Japan
PER,Red Bull Racing,6.0,113.662,2.0,WET,4.0,3.0,2022,Japan
PER,Red Bull Racing,7.0,114.05300000000001,2.0,WET,5.0,3.0,2022,Japan
ALO,Alpine,3.0,,2.0,WET,1.0,6.0,2022,Japan
ALO,Alpine,4.0,,2.0,WET,2.0,6.0,2022,Japan
ALO,Alpine,5.0,,2.0,WET,3.0,6.0,2022,Japan
ALO,Alpine,6.0,116.30000000000001,2.0,WET,4.0,6.0,2022,Japan
ALO,Alpine,7.0,113.31500000000001,2.0,WET,5.0,5.0,2022,Japan
ALO,Alpine,8.0,112.739,2.0,WET,6.0,1.0,2022,Japan
LEC,Ferrari,3.0,,2.0,WET,1.0,2.0,2022,Japan
LEC,Ferrari,4.0,,2.0,WET,2.0,2.0,2022,Japan
LEC,Ferrari,5.0,,2.0,WET,3.0,2.0,2022,Japan
LEC,Ferrari,6.0,111.393,2.0,WET,4.0,2.0,2022,Japan
LEC,Ferrari,7.0,112.86300000000001,2.0,WET,5.0,2.0,2022,Japan
STR,Aston Martin,3.0,,2.0,WET,1.0,11.0,2022,Japan
STR,Aston Martin,4.0,,2.0,WET,2.0,11.0,2022,Japan
STR,Aston Martin,5.0,,2.0,WET,3.0,11.0,2022,Japan
STR,Aston Martin,6.0,120.46700000000001,2.0,WET,4.0,12.0,2022,Japan
STR,Aston Martin,7.0,118.56200000000001,2.0,WET,5.0,13.0,2022,Japan
MAG,Haas F1 Team,3.0,,2.0,WET,1.0,12.0,2022,Japan
MAG,Haas F1 Team,4.0,,2.0,WET,2.0,12.0,2022,Japan
MAG,Haas F1 Team,5.0,,2.0,WET,3.0,12.0,2022,Japan
